Id,Title,Senior,Company,Location,Currency,date,Salary_min,Salary_max
32,Junior Python AI Developer,False,Walksee,Zdalnie  + 1,PLN,01.01.2023,6 000,8 000
33,Machine Learning Engineer,False,Ardigen,Zdalnie  + 1,PLN,01.01.2023,13 000,25 000
34,Junior Cloud Engineer,False,Reply Polska,Zdalnie,PLN,01.01.2023,5 000,9 000
35,Mid-Integration developer in AI field,False,Ultinous Zrt.,Budapest,PLN,01.01.2023,10 628,12 989
36,Machine Learning Engineer,False,ALM Services Technology Group,Zdalnie,PLN,01.02.2023,17 000,30 000
37,Senior Data Engineer,True,ASTEK Polska,Zdalnie,PLN,01.02.2023,26 880,29 400
38,Data Scientist,False,Sales&amp;More,Zdalnie,PLN,01.02.2023,7 500,15 000
39,NLP Engineer,False,Antal Sp. z.o.o.,Warszawa,PLN,01.02.2023,16 000,22 000
40,Konsultant Modelowania Ryzyka,False,Polskie Technologie,Warszawa,PLN,01.02.2023,8 700,13 100
41,NLP Developer,False,Talkie.ai,Zdalnie,PLN,01.02.2023,12 000,20 000
42,AI Developer with ROS,False,Four Point,Wrocław,PLN,01.02.2023,15 000,28 000
43,Senior/ Lead Data Scientist,True,Adform Sp. z o.o.,Warszawa,PLN,01.02.2023,24 000,30 000
44,Python Developer / ML Engineer,False,hubQuest,Zdalnie,PLN,01.02.2023,20 000,27 000
45,Computer Vision Engineer,False,Infracert TSI,Warszawa,PLN,01.02.2023,16 000,24 000
46,Senior Python Computer Vision Engineer,True,Unitem,Wrocław,PLN,01.02.2023,15 000,20 000
47,Machine Learning Engineer (Senior),True,Tooploox,Zdalnie,PLN,01.02.2023,18 000,26 000
48,Computer Vision Engineer (Senior),True,Tooploox,Zdalnie,PLN,01.02.2023,18 000,26 000
49,Cloud DevOps Engineer,False,ERGO Technology &amp; Services,Zdalnie,PLN,01.02.2023,16 000,26 000
50,Remote ML Developer Researcher,False,Galaktus Agency,Zdalnie,PLN,01.02.2023,26 400,33 000
51,Remote Lead ML Developer Researcher,True,Galaktus Agency,Zdalnie,PLN,01.02.2023,28 500,35 500
52,Senior Research Scientist,True,Snowflake,Warszawa,PLN,01.02.2023,35 000,70 000
53,Data Scientist/ AI Product Owner,False,Britenet,Lublin,PLN,01.02.2023,18 480,21 000
54,Data Scientist Lead,True,Objectivity,Zdalnie,PLN,01.02.2023,30 240,38 640
55,Cloud Automation Engineer,False,ERGO Technology &amp; Services,Zdalnie,PLN,01.02.2023,16 000,26 000
56,Cloud Apps Engineer,False,ERGO Technology &amp; Services,Zdalnie,PLN,01.02.2023,12 000,19 000
57,Regular / Senior Data Scientist,True,hubQuest,Zdalnie,PLN,01.02.2023,20 000,28 500
58,Data Engineer,False,Unit8 SA,Kraków,PLN,01.02.2023,22 000,26 000
59,Computer Vision / ML ENGINEER,False,AUTOMADE,Zdalnie,PLN,01.02.2023,14 000,26 000
60,AI/ML Data Labeling Manager,False,Focal Systems,Zdalnie,PLN,01.02.2023,22 000,30 000
61,Junior Cloud Engineer,False,Reply Polska,Zdalnie,PLN,01.02.2023,5 000,9 000
62,Cloud Automation Engineer,False,ERGO Technology &amp; Services,Zdalnie,PLN,01.03.2023,16 000,26 000
63,"AI &amp; Math (PhD, Postdoctoral Preferable)",False,Camino Science Sp. z o. o.,Zdalnie,PLN,01.03.2023,16 000,25 000
64,Research Manager,False,Snowflake,Warszawa,PLN,01.03.2023,30 000,60 000
65,Deep Learning Engineer,False,Focal Systems,Zdalnie,PLN,01.03.2023,44 700,74 600
66,Data Science Internship,False,Ringier Axel Springer Tech,Kraków,PLN,01.03.2023,3 800,
67,Machine Learning Engineer,False,hubQuest,Zdalnie,PLN,01.03.2023,20 000,27 000
68,Senior Machine Learning NLP Engineer,True,Kinetix Trading Solutions,Zdalnie,PLN,01.03.2023,25 000,35 000
69,Machine Learning Engineer,False,Sense Software,Zdalnie,PLN,01.03.2023,15 000,23 000
70,Data Science MLOps,False,PKO Finat Sp. z o.o.,Warszawa,PLN,01.03.2023,18 480,23 520
71,Sr Data Scientist - Commercial Analytics,False,Bayer Sp. z o.o.,Warszawa,PLN,01.03.2023,20 000,26 000
72,Data Scientist - Operations Research,False,Bayer Sp. z o.o.,Warszawa,PLN,01.03.2023,20 000,26 000
73,Mid Machine Learning Engineer,False,EWL Group,Warszawa,PLN,01.03.2023,15 000,25 000
74,Data Engineer,False,Unit8 SA,Kraków,PLN,01.03.2023,22 000,26 000
75,Regular / Senior Data Scientist,True,hubQuest,Zdalnie,PLN,01.03.2023,20 000,28 500
76,Senior Data Scientist,True,Bayer Sp. z o.o.,Warszawa,PLN,01.03.2023,16 000,28 000
77,Solution Architect,False,Algomine,Zdalnie,PLN,01.03.2023,25 200,33 600
78,Data Scientist,False,EMPIK S. A.,Warszawa,PLN,01.03.2023,10 000,15 000
79,Senior Deep Learning Engineer,True,Focal Systems,Zdalnie,PLN,01.03.2023,74 000,119 000
80,Machine Learning Researcher,False,RTB House,Zdalnie,PLN,01.03.2023,30 000,47 000
81,Machine Learning Engineer,False,RTB House,Zdalnie,PLN,01.03.2023,30 000,47 000
82,Data Scientist,False,Axiom Health,Sopot,PLN,01.03.2023,26 775,35 700
83,Data Scientist/AI Developer,False,Algomine,Zdalnie,PLN,01.03.2023,13 440,25 200
84,Junior Cloud Engineer,False,Reply Polska,Zdalnie,PLN,01.03.2023,5 000,9 000
85,Tech Lead  (IT - AI - Astrodynamics),True,Arcadia Astronautics,Budapest,PLN,01.03.2023,22 203,29 604
86,Machine Learning Engineer,False,ALM Services Technology Group,Zdalnie,PLN,01.04.2023,17 000,30 000
87,Senior Python Engineer ( AI Squad ),True,Lepaya,Amsterdam,PLN,01.04.2023,27 336,37 099
88,Machine Learning Specialist,False,ALTEN Polska,Zdalnie,PLN,01.04.2023,2 604,3 675
89,Mid/Senior MLOps Engineer,True,GetInData | Part of Xebia,Zdalnie,PLN,01.04.2023,16 800,33 600
90,Cloud Automation Engineer,False,ERGO Technology &amp; Services,Zdalnie,PLN,01.04.2023,16 000,26 000
91,Regular / Senior Data Scientist,True,hubQuest,Zdalnie,PLN,01.04.2023,20 000,28 500
92,Machine Learning Engineer,False,hubQuest,Zdalnie,PLN,01.04.2023,20 000,27 000
93,Cloud DevOps Engineer,False,ERGO Technology &amp; Services,Zdalnie,PLN,01.04.2023,16 000,26 000
94,Deep learning (Computer Vision) Engineer,False,New Security Systems,Zdalnie,PLN,01.04.2023,14 000,24 000
95,Machine Learning Engineer,False,RTB House,Zdalnie,PLN,01.04.2023,30 000,47 000
96,Machine Learning Researcher,False,RTB House,Zdalnie,PLN,01.04.2023,30 000,47 000
97,Senior/Expert Machine Learning Engineer,True,Digital Hub Warsaw at Bayer,Warszawa,PLN,01.04.2023,20 000,28 000
98,Senior Deep Learning Engineer,True,Focal Systems,Zdalnie,PLN,01.04.2023,74 000,119 000
99,Python Developer (AI/ML),False,Decerto Sp. z o.o.,Zdalnie,PLN,01.04.2023,24 000,
100,"AI &amp; Math (PhD, Postdoctoral Preferable)",False,Camino Science sp. z o.o.,Zdalnie,PLN,01.04.2023,16 000,25 000
101,Customer Success ML Engineer,False,Synerise,Zdalnie,PLN,01.04.2023,10 000,20 000
102,MLOps Engineer,False,LiveChat,Zdalnie,PLN,01.04.2023,18 000,34 000
103,AI Architect,False,Astrokyon,Zdalnie,PLN,01.04.2023,18 000,24 000
104,Machine Learning Engineer,False,SENSE Software,Sopot,PLN,01.04.2023,15 000,23 000
105,Machine Learning Specialist,False,InPhoTech,Ołtarzew,PLN,01.04.2023,30 000,38 000
106,Senior Research Scientist,True,Snowflake,Warszawa,PLN,01.04.2023,35 000,60 000
107,Data Scientist Lead,True,Objectivity,Zdalnie,PLN,01.04.2023,30 240,38 640
108,Deep Learning Engineer,False,Focal Systems,Zdalnie,PLN,01.04.2023,44 700,74 600
109,Senior Data Scientist,True,HERO LABS,Łódź,PLN,01.04.2023,25 000,30 000
110,Senior AI Researcher,True,Ardigen,Kraków,PLN,01.04.2023,18 000,23 000
111,AI Engineer,False,Visimind,Olsztyn,PLN,01.04.2023,8 000,12 000
112,Senior Research Engineer (Optimization),True,SoftServe,Zdalnie,PLN,01.04.2023,20 000,26 000
113,Senior Data Engineer,True,Competera,Zdalnie,PLN,01.04.2023,17 172,27 905
114,ML Developer,False,Ework Group,Warszawa,PLN,01.04.2023,20 160,25 200
115,Principal Deep Learning Engineer,False,Focal Systems,Zdalnie,PLN,01.04.2023,92 250,180 811
116,Data Scientist/AI Developer,False,Algomine,Zdalnie,PLN,01.04.2023,13 440,25 200
117,Senior Machine Learning Engineer,True,"Secret Sauce Partners, Inc.",Zdalnie,PLN,01.04.2023,11 214,22 429
118,Machine Learning Researcher,False,RTB House,Zdalnie,PLN,01.05.2023,30 000,47 000
119,PhD student in Reinforcement Learning,False,Uniwersytet Jagielloński,Kraków,PLN,01.05.2023,12 550,
120,Principal Deep Learning Engineer,False,Focal Systems,Zdalnie,PLN,01.05.2023,92 250,180 811
121,Remote Senior ML Developer,True,Link Group,Zdalnie,PLN,01.05.2023,22 000,32 000
122,Senior Deep Learning Engineer,True,Focal Systems,Zdalnie,PLN,01.05.2023,74 000,119 000
123,Deep Learning Engineer,False,Focal Systems,Zdalnie,PLN,01.05.2023,44 700,74 600
124,Machine Learning Engineer NLP,False,Saventic Health,Warszawa,PLN,01.05.2023,12 000,18 000
125,Data Scientist Lead,True,Objectivity,Zdalnie,PLN,01.05.2023,30 240,38 640
126,MLOps Engineer,False,LiveChat,Zdalnie,PLN,01.05.2023,18 000,34 000
127,MLOps Platform Engineer,False,PKO Finat Sp. z o.o.,Warszawa,PLN,01.05.2023,16 800,21 840
128,Research Manager,False,Snowflake,Warszawa,PLN,01.05.2023,30 000,60 000
129,Mid/Senior MLOps Engineer,True,GetInData | Part of Xebia,Zdalnie,PLN,01.05.2023,16 800,33 600
130,Senior Python Engineer ( AI Squad ),True,Lepaya,Amsterdam,PLN,01.05.2023,26 766,36 325
131,Cloud DevOps Engineer,False,ERGO Technology &amp; Services,Zdalnie,PLN,01.05.2023,16 000,26 000
132,Senior Machine Learning Engineer,True,"Secret Sauce Partners, Inc.",Zdalnie,PLN,01.05.2023,11 059,22 118
133,Python Developer (Physics - AI),False,Arcadia Astronautics,Budapest,PLN,01.05.2023,14 745,24 576
134,Machine Learning Engineer,False,Quickchat AI,Warszawa,PLN,01.06.2023,12 566,25 132
135,AI Engineer,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.06.2023,12 000,21 000
136,Test Engineer AI,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.06.2023,12 000,21 000
137,Application Support Engineer,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.06.2023,12 000,21 000
138,Java Developer AI,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.06.2023,12 000,22 000
139,Integration Specialist AI,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.06.2023,12 000,21 000
140,Senior Project Manager - Data Labeling,True,Focal Systems,Zdalnie,PLN,01.06.2023,22 000,30 000
141,Machine Learning Engineer,False,AI Clearing,Warszawa,PLN,01.06.2023,14 000,20 000
142,Machine Learning Operations,False,Four Point,Wrocław,PLN,01.06.2023,12 000,20 000
143,AI &amp; Math (PhD/ongoing PHD preferable),False,Camino Science sp. z o.o.,Zdalnie,PLN,01.06.2023,16 000,25 000
144,Remote Senior NLP Engineer,True,Sigmoidal LLC,Zdalnie,PLN,01.06.2023,25 132,35 394
145,Python Developer with Computer Vision,False,Numlabs,Zdalnie,PLN,01.06.2023,10 000,15 000
146,Python Machine Learning Engineer,False,Numlabs,Zdalnie,PLN,01.06.2023,13 000,17 000
147,Data Scientist,False,Numlabs,Zdalnie,PLN,01.06.2023,10 000,15 000
148,Senior Data Scientist,True,Axiom Health,Sopot,PLN,01.06.2023,25 132,33 509
149,Machine Learning Engineer (XAI project),False,10 Senses,Warszawa,PLN,01.06.2023,25 200,33 600
150,Principal Deep Learning Engineer,False,Focal Systems,Zdalnie,PLN,01.06.2023,92 250,180 811
151,Machine Learning Engineer,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.06.2023,18 000,26 000
152,Data Scientist AI,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.06.2023,19 000,32 000
153,Python Developer - AI,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.06.2023,17 000,28 000
154,Deep Learning Engineer,False,Focal Systems,Zdalnie,PLN,01.06.2023,44 700,74 600
155,Machine Learning Engineer (Mid),False,Tooploox,Zdalnie,PLN,01.06.2023,13 000,19 000
156,Machine Learning Engineer (Senior),True,Tooploox,Zdalnie,PLN,01.06.2023,18 000,26 000
157,Senior Deep Learning Engineer,True,Focal Systems,Zdalnie,PLN,01.06.2023,74 000,119 000
158,AI &amp; Math (Open PhD Conduct),False,Camino Science sp. z o.o.,Zdalnie,PLN,01.06.2023,10 000,14 000
159,AI Engineer - Custom LLM Models,False,Chorus One,Zdalnie,PLN,01.06.2023,33 592,44 790
160,Machine Learning Engineer,False,hubQuest,Zdalnie,PLN,01.06.2023,20 000,27 000
161,AI Engineer,False,CDeX,Zdalnie,PLN,01.06.2023,27 000,32 000
162,Remote Fullstack Python Developer,False,Decerto Sp. z o.o.,Zdalnie,PLN,01.06.2023,24 000,
163,Mid AI Engineer,False,Vestigit,Wrocław,PLN,01.06.2023,12 000,17 000
164,Senior AI Engineer,True,Vestigit,Wrocław,PLN,01.06.2023,20 000,25 000
165,MLOps Platform Engineer,False,PKO Finat Sp. z o.o.,Warszawa,PLN,01.06.2023,16 800,21 840
166,Lead Python + Django AI,True,Ideamotive,Zdalnie,PLN,01.06.2023,24 000,37 000
167,Applied Scientist (Mid/Senior),True,Infermedica Sp z.o.o,Zdalnie,PLN,01.06.2023,20 000,25 000
168,Senior Machine Learning Engineer,True,Sigmoidal LLC,Zdalnie,PLN,01.06.2023,25 132,35 394
169,Senior Applied Research Scientist,True,Infermedica Sp z.o.o,Zdalnie,PLN,01.06.2023,20 000,25 000
170,Regular / Senior Data Scientist,True,hubQuest,Zdalnie,PLN,01.06.2023,20 000,28 500
171,Remote Backend/AI Engineer (Golang),False,Bash,Zdalnie,PLN,01.06.2023,14 000,24 000
172,Remote Senior Project Manager - AI,True,Thoriana Sp. z o.o.,Zdalnie,PLN,01.06.2023,17 000,22 000
173,Junior Analyst - AI,False,Thoriana Sp. z o.o.,Warszawa,PLN,01.06.2023,8 000,12 000
174,Remote Mid Analyst - AI,False,Thoriana Sp. z o.o.,Zdalnie,PLN,01.06.2023,12 000,16 000
175,Remote Mid Project Manager - AI,False,Thoriana Sp. z o.o.,Zdalnie,PLN,01.06.2023,12 000,16 000
176,Programista / Programistka AI,False,BeSafe24,Poznań,PLN,01.06.2023,6 000,9 000
177,Machine Learning Engineer,False,RTB House,Zdalnie,PLN,01.06.2023,30 000,47 000
178,Mid/Senior MLOps Engineer,True,GetInData | Part of Xebia,Zdalnie,PLN,01.06.2023,16 800,33 600
179,Senior Machine Learning NLP LLM Engineer,True,Kinetix Trading Solutions,Zdalnie,PLN,01.06.2023,25 000,32 000
180,Data Scientist,False,Sales&amp;More,Zdalnie,PLN,01.06.2023,7 500,15 000
181,PhD student in Reinforcement Learning,False,Uniwersytet Jagielloński,Kraków,PLN,01.06.2023,12 550,
182,Senior Python Computer Vision Engineer,True,Unitem,Wrocław,PLN,01.06.2023,15 000,20 000
183,Data Scientist Lead,True,Objectivity,Zdalnie,PLN,01.06.2023,30 240,38 640
184,Remote MLOps Engineer,False,LiveChat,Zdalnie,PLN,01.06.2023,18 000,34 000
185,Application Support Engineer,False,Recruby,Zdalnie,PLN,01.06.2023,14 572,19 430
186,C++ Developer,False,Recruby,Budapest,PLN,01.06.2023,10 929,17 001
187,Senior NLP Data Scientist,True,SEON Technologies,Budapest,PLN,01.06.2023,18 216,24 288
188,Test Automation Engineer (Java),False,Recruby,Budapest,PLN,01.06.2023,9 715,17 001
189,C# fejlesztő,False,DLM Solutions Szolgáltató Kft.,Szolnok,PLN,01.06.2023,4 857,9 715
190,OpenAI API Integration Engineer,False,Dekra Akademie Kft.,Budapest,PLN,01.06.2023,13 358,18 216
191,Senior Java Developer,True,Recruby,Budapest,PLN,01.06.2023,20 644,31 574
192,Team Manager (AI/IoT),False,Fitech Sp. ZO.O,Kraków,PLN,01.07.2023,19 000,26 000
193,AI Engineer,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.07.2023,12 000,21 000
194,Test Engineer AI,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.07.2023,12 000,21 000
195,Application Support Engineer,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.07.2023,12 000,21 000
196,Java Developer AI,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.07.2023,12 000,22 000
197,AI &amp; Math,False,Camino Science sp. z o.o.,Zdalnie,PLN,01.07.2023,12 000,16 000
198,Integration Specialist AI,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.07.2023,12 000,21 000
199,Senior Project Manager - Data Labeling,True,Focal Systems,Zdalnie,PLN,01.07.2023,22 000,30 000
200,Senior AI Engineer,True,Vestigit,Wrocław,PLN,01.07.2023,16 000,21 000
201,Mid AI Engineer,False,Vestigit,Wrocław,PLN,01.07.2023,12 000,17 000
202,Deep Learning Engineer,False,Focal Systems,Zdalnie,PLN,01.07.2023,44 700,74 600
203,AI &amp; Math (Open PhD Conduct),False,Camino Science sp. z o.o.,Zdalnie,PLN,01.07.2023,10 000,14 000
204,Mid C++ Embedded Developer,False,Myled,Kraków,PLN,01.07.2023,14 000,20 000
205,Senior Research Engineer (Optimization),True,SoftServe,Zdalnie,PLN,01.07.2023,20 000,26 000
206,Principal Deep Learning Engineer,False,Focal Systems,Zdalnie,PLN,01.07.2023,92 250,180 811
207,Senior AI Engineer,True,BCF Software Sp. z o.o.,Poznań,PLN,01.07.2023,16 800,20 160
208,Senior Deep Learning Engineer,True,Focal Systems,Zdalnie,PLN,01.07.2023,74 000,119 000
209,Senior Research Engineer (Optimization),True,SoftServe,Zdalnie,PLN,01.07.2023,20 000,26 000
210,AI Engineer,False,CDeX,Zdalnie,PLN,01.07.2023,27 000,32 000
211,Machine Learning Engineer (XAI project),False,10 Senses,Warszawa,PLN,01.07.2023,25 200,33 600
212,Senior AI Engineer,True,Vestigit,Wrocław,PLN,01.07.2023,20 000,25 000
213,Mid AI Engineer,False,Vestigit,Wrocław,PLN,01.07.2023,12 000,17 000
214,AI Developer,False,lemon.io,Zdalnie,PLN,01.07.2023,20 434,40 869
215,AI &amp; Math (PhD/ongoing PHD preferable),False,Camino Science sp. z o.o.,Zdalnie,PLN,01.07.2023,16 000,25 000
216,Lead Python + Django AI,True,Ideamotive,Zdalnie,PLN,01.07.2023,24 000,37 000
217,Applied Scientist (Mid/Senior),True,Infermedica Sp z.o.o,Zdalnie,PLN,01.07.2023,20 000,25 000
218,Senior Applied Research Scientist,True,Infermedica Sp z.o.o,Zdalnie,PLN,01.07.2023,20 000,25 000
219,Remote Backend/AI Engineer (Golang),False,Bash,Zdalnie,PLN,01.07.2023,14 000,24 000
220,Remote Senior Project Manager - AI,True,Thoriana Sp. z o.o.,Zdalnie,PLN,01.07.2023,17 000,22 000
221,Junior Analyst - AI,False,Thoriana Sp. z o.o.,Warszawa,PLN,01.07.2023,8 000,12 000
222,Remote Mid Analyst - AI,False,Thoriana Sp. z o.o.,Zdalnie,PLN,01.07.2023,12 000,16 000
223,Remote Mid Project Manager - AI,False,Thoriana Sp. z o.o.,Zdalnie,PLN,01.07.2023,12 000,16 000
224,Machine Learning Engineer,False,RTB House,Zdalnie,PLN,01.07.2023,30 000,47 000
225,Mid/Senior MLOps Engineer,True,GetInData | Part of Xebia,Zdalnie,PLN,01.07.2023,16 800,33 600
226,Data Scientist,False,Sales&amp;More,Zdalnie,PLN,01.07.2023,7 500,15 000
227,AI SCIENTIST,False,InPhoTech,Ołtarzew,PLN,01.07.2023,30 000,40 000
228,Machine Learning Engineer,False,Quickchat AI,Warszawa,PLN,01.07.2023,12 260,24 521
229,Remote Senior NLP Engineer,True,Sigmoidal LLC,Zdalnie,PLN,01.07.2023,24 521,34 534
230,Python Developer with Computer Vision,False,Numlabs,Zdalnie,PLN,01.07.2023,10 000,15 000
231,Python Machine Learning Engineer,False,Numlabs,Zdalnie,PLN,01.07.2023,13 000,17 000
232,Data Scientist,False,Numlabs,Zdalnie,PLN,01.07.2023,10 000,15 000
233,Programista C++ 17/20,False,Techmo Sp. z o.o.,Kraków,PLN,01.07.2023,13 000,23 000
234,Remote Mid ML Engineer,False,Centralny Ośrodek Informatyki,Zdalnie,PLN,01.07.2023,14 000,28 000
235,Senior AI Software Engineer,True,Fourthwall,Zdalnie,PLN,01.07.2023,22 500,37 000
236,Remote Mid ML Engineer,False,Centralny Ośrodek Informatyki,Zdalnie,PLN,01.07.2023,14 000,28 000
237,Remote Mid AI&amp;ML Data Scientist,False,Centralny Ośrodek Informatyki,Zdalnie,PLN,01.07.2023,14 000,28 000
238,Data Scientist/AI Developer,False,Algomine,Zdalnie,PLN,01.07.2023,13 440,25 200
239,Senior OpenAI &amp; ML Solutions Developer,True,Everguest,Budapest,PLN,01.07.2023,21 180,29 417
240,Generative AI Expert,True,Deutsche Telekom IT Solutions Hungary,Budapest,PLN,01.07.2023,21 180,29 417
241,Senior Data Engineer,True,Develocraft,Zdalnie,PLN,01.08.2023,23 000,28 500
242,AI SCIENTIST,False,InPhoTech,Ołtarzew,PLN,01.08.2023,30 000,40 000
243,AI Developer,False,lemon.io,Zdalnie,PLN,01.08.2023,20 405,40 810
244,Machine Learning Engineer,False,Quickchat AI,Warszawa,PLN,01.08.2023,12 243,24 486
245,Programista C++ 17/20,False,Techmo Sp. z o.o.,Kraków,PLN,01.08.2023,13 000,23 000
246,Computer Vision Engineer,False,Spline,Zdalnie,PLN,01.08.2023,22 000,25 000
247,Remote Mid ML Engineer,False,Centralny Ośrodek Informatyki,Zdalnie,PLN,01.08.2023,14 000,28 000
248,Senior AI Software Engineer,True,Fourthwall,Zdalnie,PLN,01.08.2023,22 500,37 000
249,Remote Mid AI&amp;ML Data Scientist,False,Centralny Ośrodek Informatyki,Zdalnie,PLN,01.08.2023,14 000,28 000
250,Remote Mid ML Engineer,False,Centralny Ośrodek Informatyki,Zdalnie,PLN,01.08.2023,14 000,28 000
251,AI Engineer,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.08.2023,12 000,21 000
252,Test Engineer AI,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.08.2023,12 000,21 000
253,Application Support Engineer,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.08.2023,12 000,21 000
254,Java Developer AI,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.08.2023,12 000,22 000
255,AI &amp; Math,False,Camino Science sp. z o.o.,Zdalnie,PLN,01.08.2023,12 000,16 000
256,Integration Specialist AI,False,Zone IT Sp. z o.o.,Wrocław,PLN,01.08.2023,12 000,21 000
257,AI &amp; Math (PhD/ongoing PhD nice-to-have),False,Camino Science sp. z o.o.,Zdalnie,PLN,01.08.2023,15 000,25 000
258,Senior AI Engineer,True,Vestigit,Wrocław,PLN,01.08.2023,23 000,30 000
259,Mid AI Engineer,False,Vestigit,Wrocław,PLN,01.08.2023,17 000,24 000
260,Senior Machine Learning Engineer,True,Graylight Imaging Sp. zo.o.,Gliwice,PLN,01.08.2023,12 300,19 900
261,Senior AI Engineer,True,Vestigit,Wrocław,PLN,01.08.2023,23 000,30 000
262,Mid AI Engineer,False,Vestigit,Wrocław,PLN,01.08.2023,17 000,24 000
263,Senior Machine Learning Engineer,True,Graylight Imaging Sp. zo.o.,Gliwice,PLN,01.08.2023,12 300,19 900
264,Data Scientist/AI Developer,False,Algomine,Zdalnie,PLN,01.08.2023,13 440,25 200
265,Applied Scientist (Mid/Senior),True,Infermedica Sp z.o.o,Zdalnie,PLN,01.08.2023,20 000,25 000
266,Senior AI Specialist,True,Grupa Morizon-Gratka Sp. z o.o.,Warszawa,PLN,01.08.2023,14 000,20 000
267,Mid AI Specialist,False,Grupa Morizon-Gratka Sp. z o.o.,Warszawa,PLN,01.08.2023,10 000,16 000
268,Mid AI Engineer,False,Flyps,Zdalnie,PLN,01.08.2023,18 000,24 000
269,Junior Machine Learning,False,Mindpal,Zdalnie,PLN,01.08.2023,8 400,11 760
270,Junior Machine Learning,False,Mindpal,Zdalnie,PLN,01.08.2023,8 400,11 760
271,Data Scientist,False,"Secret Sauce Partners, Inc.",Zdalnie,PLN,01.08.2023,10 249,20 498
